 	Area	X	Y	Slice
468	251	566.189	172.620	20
469	165	148.500	185.500	20
470	200	304.615	201.420	20
471	174	112.420	207.753	20
472	211	393.661	227.491	20
473	181	184.599	251.732	20
474	192	379.167	256.021	20
475	174	615.172	256.362	20
476	147	318.112	269.949	20
477	154	115.234	280.922	20
478	175	528.791	285.014	20
479	245	490.345	357.508	20
480	226	304.748	362.381	20
481	251	412.432	364.687	20
482	151	183.394	366.778	20
483	167	596.213	385.404	20
484	177	107.703	398.771	20
485	206	213.117	67.442	21
486	261	494.305	77.653	21
487	228	290.601	80.281	21
488	233	397.981	102.607	21
489	176	68.108	117.449	21
490	158	604.500	119.000	21
491	173	513.171	159.627	21
492	250	566.184	172.588	21
493	165	148.500	185.500	21
494	197	304.510	201.480	21
495	174	112.420	207.753	21
496	185	392.841	227.619	21
497	181	184.599	251.732	21
498	187	379.013	255.880	21
499	174	615.172	256.362	21
500	147	318.112	269.949	21
501	154	115.234	280.922	21
502	175	528.791	285.014	21
503	245	490.345	357.508	21
504	226	304.748	362.381	21
505	218	412.927	364.472	21
506	151	183.394	366.778	21
507	167	596.213	385.404	21
508	171	107.939	398.746	21
509	206	213.117	67.442	22
510	261	494.305	77.653	22
511	207	291.085	79.785	22
512	216	398.477	102.616	22
513	176	68.108	117.449	22
514	158	604.500	119.000	22
515	171	513.167	159.833	22
516	250	566.184	172.588	22
517	165	148.500	185.500	22
518	193	304.376	201.438	22
519	174	112.420	207.753	22
520	179	392.668	227.489	22
521	197	184.099	251.754	22
522	187	379.013	255.880	22
523	174	615.172	256.362	22
524	147	318.112	269.949	22
525	154	115.234	280.922	22
526	171	528.845	285.155	22
527	228	490.842	357.509	22
528	236	305.042	362.890	22
529	218	412.927	364.472	22
530	144	183.167	366.667	22
531	161	596.370	385.252	22
532	171	107.939	398.746	22
533	206	213.117	67.442	23
534	261	494.305	77.653	23
535	228	290.601	80.281	23
536	233	397.981	102.607	23
537	183	67.757	117.117	23
538	158	604.500	119.000	23
